subject,related_queries,value,keyword,category,keyword1,hits_t
100,top,coronavirus cloroquina,Cloroquina,0,Cloroquina,2452.5
79,top,hidroxicloroquina,Cloroquina,0,Cloroquina,2452.5
77,top,cloroquina hidroxicloroquina,Cloroquina,0,Cloroquina,2452.5
63,top,cloroquina bula,Cloroquina,0,Cloroquina,2452.5
56,top,cloroquina covid,Cloroquina,0,Cloroquina,2452.5
46,top,o que cloroquina,Cloroquina,0,Cloroquina,2452.5
38,top,la cloroquina,Cloroquina,0,Cloroquina,2452.5
36,top,cloroquina bolsonaro,Cloroquina,0,Cloroquina,2452.5
34,top,bolsonaro,Cloroquina,0,Cloroquina,2452.5
31,top,cloroquina e hidroxicloroquina,Cloroquina,0,Cloroquina,2452.5
30,top,cloroquina brasil,Cloroquina,0,Cloroquina,2452.5
29,top,cloroquina oms,Cloroquina,0,Cloroquina,2452.5
29,top,oms,Cloroquina,0,Cloroquina,2452.5
27,top,o que Ã© cloroquina,Cloroquina,0,Cloroquina,2452.5
26,top,cloroquina corona,Cloroquina,0,Cloroquina,2452.5
24,top,preÃ§o cloroquina,Cloroquina,0,Cloroquina,2452.5
24,top,cloroquina azitromicina,Cloroquina,0,Cloroquina,2452.5
24,top,cloroquina para que serve,Cloroquina,0,Cloroquina,2452.5
24,top,azitromicina,Cloroquina,0,Cloroquina,2452.5
24,top,uso da cloroquina,Cloroquina,0,Cloroquina,2452.5
24,top,cloroquina serve para que,Cloroquina,0,Cloroquina,2452.5
23,top,cloroquina efeitos colaterais,Cloroquina,0,Cloroquina,2452.5
23,top,efeitos colaterais cloroquina,Cloroquina,0,Cloroquina,2452.5
22,top,cloroquina que es,Cloroquina,0,Cloroquina,2452.5
22,top,cloroquina covid 19,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,coronavirus cloroquina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina covid,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina bolsonaro,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,bolsonaro,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina corona,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina azitromicina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,azitromicina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,uso da cloroquina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina covid 19,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina para coronavirus,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,estudo cloroquina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina trump,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina cura,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina no brasil,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina corona virus,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina italia,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina eua,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,coronavÃ­rus,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,italia,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,coronavirus brasil,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,fda cloroquina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,quinino cloroquina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,cloroquina estados unidos,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,quina,Cloroquina,0,Cloroquina,2452.5
Breakout,rising,hidrÃ³xido cloroquina,Cloroquina,0,Cloroquina,2452.5
100,top,chloroquine coronavirus,Chloroquine,0,Cloroquina,2452.5
44,top,chloroquine phosphate,Chloroquine,0,Cloroquina,2452.5
43,top,chloroquine covid,Chloroquine,0,Cloroquina,2452.5
37,top,chloroquine hydroxychloroquine,Chloroquine,0,Cloroquina,2452.5
36,top,hydroxychloroquine,Chloroquine,0,Cloroquina,2452.5
35,top,la chloroquine,Chloroquine,0,Cloroquina,2452.5
29,top,chloroquine corona,Chloroquine,0,Cloroquina,2452.5
27,top,chloroquine covid 19,Chloroquine,0,Cloroquina,2452.5
25,top,chloroquine side effects,Chloroquine,0,Cloroquina,2452.5
20,top,chloroquine malaria,Chloroquine,0,Cloroquina,2452.5
20,top,raoult,Chloroquine,0,Cloroquina,2452.5
20,top,chloroquine raoult,Chloroquine,0,Cloroquina,2452.5
20,top,malaria,Chloroquine,0,Cloroquina,2452.5
17,top,france chloroquine,Chloroquine,0,Cloroquina,2452.5
15,top,chloroquine trump,Chloroquine,0,Cloroquina,2452.5
14,top,chloroquine virus,Chloroquine,0,Cloroquina,2452.5
13,top,chloroquine quinine,Chloroquine,0,Cloroquina,2452.5
13,top,quinine,Chloroquine,0,Cloroquina,2452.5
12,top,chloroquine for coronavirus,Chloroquine,0,Cloroquina,2452.5
11,top,chloroquine tablets,Chloroquine,0,Cloroquina,2452.5
11,top,chloroquine dosage,Chloroquine,0,Cloroquina,2452.5
11,top,hydroxy chloroquine,Chloroquine,0,Cloroquina,2452.5
10,top,what is chloroquine,Chloroquine,0,Cloroquina,2452.5
9,top,chloroquine dose,Chloroquine,0,Cloroquina,2452.5
9,top,chloroquine news,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine coronavirus,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine covid,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine corona,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine covid 19,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,raoult,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine raoult,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,france chloroquine,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine trump,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine virus,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine for coronavirus,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine and coronavirus,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,didier raoult,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,covid-19 chloroquine,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,didier raoult chloroquine,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,coronavirus france,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine for covid 19,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,remdesivir,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine covid19,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine usa,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine et coronavirus,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,effets secondaires chloroquine,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine prix,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine italie,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine kopen,Chloroquine,0,Cloroquina,2452.5
Breakout,rising,chloroquine chine,Chloroquine,0,Cloroquina,2452.5
100,top,coronavirus hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
89,top,cloroquina hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
89,top,cloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
79,top,hidroxicloroquina bula,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
58,top,preÃ§o hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
57,top,azitromicina hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
56,top,azitromicina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
52,top,hidroxicloroquina covid,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
51,top,sulfato hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
46,top,la hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
40,top,sulfato de hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
35,top,hidroxicloroquina e cloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
31,top,hidroxicloroquina precio,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
28,top,que es hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
27,top,hidroxicloroquina para que sirve,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
27,top,hidroxicloroquina 400mg,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
23,top,hidroxicloroquina covid 19,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
22,top,para que serve hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
21,top,hidroxicloroquina corona,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
19,top,hidroxicloroquina 200,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
18,top,hidroxicloroquina para coronavirus,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
17,top,comprar hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
16,top,hidroxicloroquina 200 mg,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
15,top,malaria,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
15,top,hidroxicloroquina malaria,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,coronavirus hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,azitromicina hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,azitromicina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina covid,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina e cloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina covid 19,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina corona,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina para coronavirus,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina malaria,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,fda hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,fda,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina trump,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina oms,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,o que Ã© hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,oms,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,oms hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina efeitos colaterais,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,novartis,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,ivermectina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,novartis hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,azitromicina e hidroxicloroquina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina y azitromicina,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,remdesivir,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,hidroxicloroquina italia,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
Breakout,rising,azitromicina coronavirus,Hidroxicloroquina,0,Hidroxicloroquina,2842.5
100,top,hydroxychloroquine coronavirus,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
79,top,covid hydroxychloroquine,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
73,top,is hydroxychloroquine,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
49,top,trump,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
49,top,hydroxychloroquine trump,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
47,top,hydroxychloroquine covid 19,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
41,top,hydroxychloroquine india,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
41,top,side effects hydroxychloroquine,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
40,top,chloroquine hydroxychloroquine,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
40,top,chloroquine,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
33,top,hydroxychloroquine azithromycin,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
32,top,hydroxychloroquine corona,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
32,top,azithromycin,Hydroxychloroquine,0,Hidroxicloroquina,2842.5
