subject,related_queries,value,geo,keyword,category,keyword1,hits_t
100,top,cloroquina colombia,CO,Cloroquina,0,Cloroquina,1325
95,top,cloroquina fosfato,CO,Cloroquina,0,Cloroquina,1325
78,top,cloroquina precio,CO,Cloroquina,0,Cloroquina,1325
77,top,cloroquina 250,CO,Cloroquina,0,Cloroquina,1325
73,top,cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1325
71,top,cloroquina coronavirus,CO,Cloroquina,0,Cloroquina,1325
66,top,hidroxicloroquina,CO,Cloroquina,0,Cloroquina,1325
61,top,cloroquina para que sirve,CO,Cloroquina,0,Cloroquina,1325
56,top,que es cloroquina,CO,Cloroquina,0,Cloroquina,1325
50,top,cloroquina precio colombia,CO,Cloroquina,0,Cloroquina,1325
37,top,cloroquina 250 mg precio colombia,CO,Cloroquina,0,Cloroquina,1325
29,top,que es la cloroquina,CO,Cloroquina,0,Cloroquina,1325
26,top,fosfato de cloroquina,CO,Cloroquina,0,Cloroquina,1325
25,top,para que sirve la cloroquina,CO,Cloroquina,0,Cloroquina,1325
24,top,cloroquina fosfato para que sirve,CO,Cloroquina,0,Cloroquina,1325
23,top,azitromicina,CO,Cloroquina,0,Cloroquina,1325
21,top,cloroquina tabletas,CO,Cloroquina,0,Cloroquina,1325
15,top,cloroquina comercial,CO,Cloroquina,0,Cloroquina,1325
10,top,cloroquina drogas la rebaja,CO,Cloroquina,0,Cloroquina,1325
8,top,para que sirve la cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1325
6,top,cloroquina fosfato 250 mg para que sirve,CO,Cloroquina,0,Cloroquina,1325
5,top,para qu̩ sirve la cloroquina,CO,Cloroquina,0,Cloroquina,1325
4,top,cloroquina ficha tecnica,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina coronavirus,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina precio colombia,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina 250 mg precio colombia,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,azitromicina,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina drogas la rebaja,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,para que sirve la cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina fosfato 250 mg para que sirve,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,para qu̩ sirve la cloroquina,CO,Cloroquina,0,Cloroquina,1325
Breakout,rising,cloroquina ficha tecnica,CO,Cloroquina,0,Cloroquina,1325
+300%,rising,cloroquina colombia,CO,Cloroquina,0,Cloroquina,1325
+190%,rising,cloroquina 250,CO,Cloroquina,0,Cloroquina,1325
+180%,rising,cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1325
+90%,rising,hidroxicloroquina,CO,Cloroquina,0,Cloroquina,1325
