subject,related_queries,value,geo,keyword,category,keyword1,hits_t
100,top,cloroquina colombia,CO,Cloroquina,0,Cloroquina,1253
91,top,cloroquina precio,CO,Cloroquina,0,Cloroquina,1253
74,top,cloroquina fosfato,CO,Cloroquina,0,Cloroquina,1253
65,top,cloroquina que es,CO,Cloroquina,0,Cloroquina,1253
61,top,cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1253
61,top,cloroquina coronavirus,CO,Cloroquina,0,Cloroquina,1253
60,top,hidroxicloroquina,CO,Cloroquina,0,Cloroquina,1253
39,top,para que sirve la cloroquina,CO,Cloroquina,0,Cloroquina,1253
39,top,fosfato de cloroquina,CO,Cloroquina,0,Cloroquina,1253
39,top,cloroquina 250 mg precio colombia,CO,Cloroquina,0,Cloroquina,1253
30,top,cloroquina tabletas,CO,Cloroquina,0,Cloroquina,1253
30,top,cloroquina fosfato para que sirve,CO,Cloroquina,0,Cloroquina,1253
26,top,que es la cloroquina,CO,Cloroquina,0,Cloroquina,1253
13,top,cloroquina fosfato 250 mg,CO,Cloroquina,0,Cloroquina,1253
9,top,cloroquina ficha tecnica,CO,Cloroquina,0,Cloroquina,1253
9,top,azitromicina,CO,Cloroquina,0,Cloroquina,1253
4,top,cloroquina drogas la rebaja,CO,Cloroquina,0,Cloroquina,1253
4,top,cloroquina efectos secundarios,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina colombia,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina precio,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina 250 mg,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina coronavirus,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,hidroxicloroquina,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,para que sirve la cloroquina,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina 250 mg precio colombia,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina tabletas,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina fosfato para que sirve,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,que es la cloroquina,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina fosfato 250 mg,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina ficha tecnica,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,azitromicina,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina drogas la rebaja,CO,Cloroquina,0,Cloroquina,1253
Breakout,rising,cloroquina efectos secundarios,CO,Cloroquina,0,Cloroquina,1253
+90%,rising,cloroquina que es,CO,Cloroquina,0,Cloroquina,1253
100,top,azitromicina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
88,top,hidroxicloroquina precio,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
79,top,hidroxicloroquina sulfato,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
75,top,cloroquina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
67,top,hidroxicloroquina para que sirve,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
54,top,hidroxicloroquina precio colombia,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
46,top,hidroxicloroquina 200,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
46,top,hidroxicloroquina 200 mg,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
41,top,hidroxicloroquina la rebaja,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
33,top,hidroxicloroquina efectos secundarios,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
29,top,hidroxicloroquina vademecum,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
29,top,para que sirve la hidroxicloroquina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
21,top,hidroxicloroquina presentacion,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
17,top,hidroxicloroquina mercado libre,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
8,top,hidroclorotiazida,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,azitromicina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina precio,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,cloroquina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina precio colombia,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina 200 mg,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina la rebaja,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina efectos secundarios,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina vademecum,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,para que sirve la hidroxicloroquina,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroxicloroquina mercado libre,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
Breakout,rising,hidroclorotiazida,CO,Hidroxicloroquina,0,Hidroxicloroquina,1080
100,top,para que sirve azitromicina,CO,Azitromicina,0,Azitromicina,1140
57,top,azitromicina dosis,CO,Azitromicina,0,Azitromicina,1140
54,top,para que sirve la azitromicina,CO,Azitromicina,0,Azitromicina,1140
46,top,hidroxicloroquina,CO,Azitromicina,0,Azitromicina,1140
43,top,azitromicina para q sirve,CO,Azitromicina,0,Azitromicina,1140
37,top,azitromicina precio,CO,Azitromicina,0,Azitromicina,1140
28,top,que es azitromicina,CO,Azitromicina,0,Azitromicina,1140
17,top,para qu̩ sirve la azitromicina,CO,Azitromicina,0,Azitromicina,1140
15,top,cada cuanto se toma la azitromicina,CO,Azitromicina,0,Azitromicina,1140
13,top,para q sirve la azitromicina,CO,Azitromicina,0,Azitromicina,1140
11,top,azitromicina dosis ni̱os,CO,Azitromicina,0,Azitromicina,1140
4,top,azitromicina comercial,CO,Azitromicina,0,Azitromicina,1140
2,top,azitromicina dosis pediatrica,CO,Azitromicina,0,Azitromicina,1140
2,top,hidrociclorina,CO,Azitromicina,0,Azitromicina,1140
Breakout,rising,hidroxicloroquina,CO,Azitromicina,0,Azitromicina,1140
Breakout,rising,cada cuanto se toma la azitromicina,CO,Azitromicina,0,Azitromicina,1140
Breakout,rising,hidrociclorina,CO,Azitromicina,0,Azitromicina,1140
+250%,rising,azitromicina para q sirve,CO,Azitromicina,0,Azitromicina,1140
+250%,rising,para qu̩ sirve la azitromicina,CO,Azitromicina,0,Azitromicina,1140
+80%,rising,que es azitromicina,CO,Azitromicina,0,Azitromicina,1140
