subject,related_queries,value,keyword,category,keyword1,hits_t
100,top,coronavirus cloroquina,Cloroquina,0,Cloroquina,2030.5
54,top,bula cloroquina,Cloroquina,0,Cloroquina,2030.5
48,top,hidroxicloroquina,Cloroquina,0,Cloroquina,2030.5
41,top,la cloroquina,Cloroquina,0,Cloroquina,2030.5
38,top,cloroquina covid,Cloroquina,0,Cloroquina,2030.5
25,top,cloroquina pre̤o,Cloroquina,0,Cloroquina,2030.5
25,top,cloroquina corona,Cloroquina,0,Cloroquina,2030.5
24,top,cloroquina azitromicina,Cloroquina,0,Cloroquina,2030.5
24,top,azitromicina,Cloroquina,0,Cloroquina,2030.5
22,top,que es cloroquina,Cloroquina,0,Cloroquina,2030.5
22,top,cloroquina bolsonaro,Cloroquina,0,Cloroquina,2030.5
22,top,para que serve cloroquina,Cloroquina,0,Cloroquina,2030.5
22,top,cloroquina brasil,Cloroquina,0,Cloroquina,2030.5
21,top,bolsonaro,Cloroquina,0,Cloroquina,2030.5
21,top,cloroquina 250,Cloroquina,0,Cloroquina,2030.5
20,top,covid 19 cloroquina,Cloroquina,0,Cloroquina,2030.5
20,top,cloroquina fosfato,Cloroquina,0,Cloroquina,2030.5
18,top,cloroquina precio,Cloroquina,0,Cloroquina,2030.5
17,top,malaria,Cloroquina,0,Cloroquina,2030.5
17,top,cloroquina para que sirve,Cloroquina,0,Cloroquina,2030.5
17,top,o que ̩ o cloroquina,Cloroquina,0,Cloroquina,2030.5
17,top,cloroquina malaria,Cloroquina,0,Cloroquina,2030.5
16,top,o que ̩ cloroquina,Cloroquina,0,Cloroquina,2030.5
16,top,cloroquina para coronavirus,Cloroquina,0,Cloroquina,2030.5
15,top,remedio cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,coronavirus cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina covid,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina pre̤o,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina corona,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina bolsonaro,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina brasil,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,bolsonaro,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,covid 19 cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina para coronavirus,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina comprar,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,efeitos colaterais cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,hidroxicloroquina e cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina corona virus,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina efeito colateral,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina trump,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,italia cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,quinino cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,fda cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,o que e cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,italia,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,quinino,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina para covid,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,coronavirus brasil,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,estudo cloroquina,Cloroquina,0,Cloroquina,2030.5
Breakout,rising,cloroquina eua,Cloroquina,0,Cloroquina,2030.5
100,top,coronavirus chloroquine,Chloroquine,0,Cloroquina,2030.5
42,top,chloroquine phosphate,Chloroquine,0,Cloroquina,2030.5
40,top,covid chloroquine,Chloroquine,0,Cloroquina,2030.5
36,top,chloroquine hydroxychloroquine,Chloroquine,0,Cloroquina,2030.5
34,top,hydroxychloroquine,Chloroquine,0,Cloroquina,2030.5
33,top,la chloroquine,Chloroquine,0,Cloroquina,2030.5
29,top,chloroquine corona,Chloroquine,0,Cloroquina,2030.5
26,top,chloroquine side effects,Chloroquine,0,Cloroquina,2030.5
25,top,covid 19 chloroquine,Chloroquine,0,Cloroquina,2030.5
21,top,malaria,Chloroquine,0,Cloroquina,2030.5
21,top,chloroquine malaria,Chloroquine,0,Cloroquina,2030.5
19,top,chloroquine raoult,Chloroquine,0,Cloroquina,2030.5
18,top,raoult,Chloroquine,0,Cloroquina,2030.5
16,top,chloroquine trump,Chloroquine,0,Cloroquina,2030.5
15,top,chloroquine france,Chloroquine,0,Cloroquina,2030.5
15,top,chloroquine for coronavirus,Chloroquine,0,Cloroquina,2030.5
12,top,chloroquine quinine,Chloroquine,0,Cloroquina,2030.5
12,top,quinine,Chloroquine,0,Cloroquina,2030.5
12,top,chloroquine dosage,Chloroquine,0,Cloroquina,2030.5
12,top,chloroquine drug,Chloroquine,0,Cloroquina,2030.5
10,top,chloroquine plaquenil,Chloroquine,0,Cloroquina,2030.5
10,top,chloroquine tablets,Chloroquine,0,Cloroquina,2030.5
10,top,what is chloroquine,Chloroquine,0,Cloroquina,2030.5
10,top,hydroxy chloroquine,Chloroquine,0,Cloroquina,2030.5
10,top,india chloroquine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,coronavirus chloroquine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,covid chloroquine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,la chloroquine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine corona,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,covid 19 chloroquine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine raoult,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,raoult,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine trump,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine france,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine for coronavirus,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,quinine,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,chloroquine news,Chloroquine,0,Cloroquina,2030.5
Breakout,rising,traitement chloroquine,Chloroquine,0,Cloroquina,2030.5
